X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-71.033785000911635,42.254585999593438,2778,3353,3353,Robertson St @ Kimball St,,42.254586,-71.033785,,,0,,0,{798B5214-BA8A-4EC2-816E-D1740B0DD898},,,,
-71.032636999887103,42.255873999869436,2779,3354,3354,Robertson St @ Adams St,,42.255874,-71.032637,,,0,,0,{905F3892-F756-4A3A-9403-32EE42A29198},,,,
-71.033465000996856,42.256313000387813,2780,3355,3355,Adams St @ Beale St,,42.256313,-71.033465,,,0,,0,{B6E79E12-E20D-446B-878C-7A2816BE9F48},,,,
-71.035450000245831,42.256932000762824,2781,3356,3356,Adams St @ Washington St,,42.256932,-71.03545,,,0,,0,{3A3EECB7-6D64-47B8-B899-162C65C57513},,,,
-71.037376000080371,42.257506000871885,2782,3358,3358,Adams St @ Granite Pl,,42.257506,-71.037376,,,0,,0,{08C47F18-86D4-44BF-A1A9-686BD79A86E7},,,,
-71.039278999726122,42.257949999818692,2783,3359,3359,Adams St @ Church St,,42.25795,-71.039279,,,0,,0,{15F5165D-F17B-4FF8-88EB-67496FBE9621},,,,
-71.041759998757811,42.259167999993608,2784,3360,3360,Granite Ave @ Bassett St,,42.259168,-71.04176,,,0,,0,{BC8C37DA-88E3-4D2D-9A7E-B304525EB225},,,,
-71.042533999576307,42.260856000108241,2785,3361,3361,Granite Ave @ Wood St,,42.260856,-71.042534,,,0,,0,{5F7BBC78-A96E-4CC0-8129-45B592698289},,,,
-71.206624000452408,42.176908000715585,2786,33618,33618,Washington St @ Austin St,,42.176908,-71.206624,,,0,,0,{D20C5390-5A80-4E76-97A9-704B1D7542CB},,,,
-71.193322999358372,42.207807999360845,2787,33619,33619,169 Washington St opp Neponset St,,42.207808,-71.193323,,,0,,0,{785006DE-3C4F-48A0-96D6-DB131076BBE9},,,,
-71.042902000486663,42.261598000325634,2788,3362,3362,Granite Ave @ Emerson Rd,,42.261598,-71.042902,,,0,,0,{905ECEB0-1FAB-4A61-AF02-11EEF19FBDAA},,,,
-71.043720999471304,42.263387999697031,2789,3363,3363,Granite Ave @ Squantum St,,42.263388,-71.043721,,,0,,0,{53145EB3-7063-4488-91F5-2187124B9F06},,,,
-71.043103999787576,42.263827000546165,2790,33632,33632,Squantum St @ Antwerp St,,42.263827,-71.043104,,,0,,0,{093165FE-2D16-4839-82CC-DF8AC0CF9FEA},,,,
-71.041687000186585,42.266630999766598,2791,33634,33634,Squantum St @ Amsterdam Ave,,42.266631,-71.041687,,,0,,0,{84B0F8AF-41E1-4C1E-8C1B-9A79E99110D1},,,,
-71.040387999950809,42.268554999875029,2792,33635,33635,W Squantum St @ London Ave,,42.268555,-71.040388,,,0,,0,{A6B553E1-AC87-42B9-AC96-855225C427C1},,,,
-71.044485000387226,42.265006999605468,2793,3364,3364,Opp 197 Granite Ave,,42.265007,-71.044485,,,0,,0,{9E97020A-FEFF-4E37-A3E1-83A6C5AA71AF},,,,
-71.045052000880247,42.266217000481639,2794,3365,3365,Granite Ave @ Hope Ave,,42.266217,-71.045052,,,0,,0,{E9D10597-39F2-4BEC-9D8D-E9DBD6A04267},,,,
-71.04772799993367,42.271340000126152,2795,3366,3366,Granite Ave @ Thistle Ave,,42.27134,-71.047728,,,0,,0,{631F8D27-9CE9-4677-8906-37C62CC8C0B0},,,,
-71.048510000080427,42.272490000479628,2796,3367,3367,Granite Ave @ Courtland Circle,,42.27249,-71.04851,,,0,,0,{76D02B02-DD43-4280-BB75-93E426F78ED3},,,,
-71.054059000507749,42.278850000123498,2797,3368,3368,Granite Ave @ Hilltop St,,42.27885,-71.054059,,,0,,0,{C3E595DE-BC6F-417D-B914-54D60ABCB946},,,,
-71.054608000366642,42.280251999237763,2798,3369,3369,Granite Ave @ Milton St,,42.280252,-71.054608,,,0,,0,{5D221466-78E1-4265-BCC8-D13F76A7D47A},,,,
-71.055536000582237,42.282481999879316,2799,33691,33691,Granite Ave @ Gallivan Blvd,,42.282482,-71.055536,,,0,,0,{084148FF-F91C-4D68-A5BD-FE0A80BBC407},,,,
-71.063599999634363,42.288000000333916,2800,337,337,Dorchester Ave @ Msgr Lydon Way,,42.288,-71.0636,,,0,,0,{6A4D18D2-E9AA-4303-A2B5-FF95A650EE8C},,,,
-71.056745999723205,42.282582000097001,2801,3370,3370,Gallivan Blvd @ Kenmere Rd,,42.282582,-71.056746,,,0,,0,{BA4D227C-D63F-46C0-A740-6F3B8514752F},,,,
-71.058366999976386,42.282189999522608,2802,3371,3371,Gallivan Blvd @ Frederika St,,42.28219,-71.058367,,,0,,0,{81C33EDA-76A7-4241-827F-358EB17440FA},,,,
-71.059795998759782,42.281783999491076,2803,3372,3372,Gallivan Blvd @ Carruth St,,42.281784,-71.059796,,,0,,0,{CAFD3913-62C0-4769-A167-333169BD34A6},,,,
-71.062125998685246,42.281074000128974,2804,3373,3373,Gallivan Blvd @ Huron Circle,,42.281074,-71.062126,,,0,,0,{99696F6F-BF9C-4F94-8F66-35E1586F6D17},,,,
-71.064874000348141,42.280148999009903,2805,3375,3375,Gallivan Blvd @ Hutchinson St,,42.280149,-71.064874,,,0,,0,{3A10785D-4C7B-4373-8F45-4E920BD57213},,,,
-71.062303998884474,42.280915998943748,2806,3376,3376,Gallivan Blvd opp Huron Circle,,42.280916,-71.062304,,,0,,0,{C70DC1FA-3287-4354-A3FD-1E9E4D1BC6BF},,,,
-71.059981999935971,42.281630999363536,2807,33761,33761,Gallivan Blvd opp Carruth St,,42.281631,-71.059982,,,0,,0,{A6C786F7-576B-4E17-9ACD-2A037C3D16B4},,,,
-71.059005001197335,42.281912999410416,2808,3377,3377,Gallivan Blvd @ Adams St,,42.281913,-71.059005,,,0,,0,{890FA415-0798-4A23-B54B-C304823F515A},,,,
-71.055791000282852,42.282448999979458,2809,3378,3378,Granite Ave @ Gallivan Blvd,,42.282449,-71.055791,,,0,,0,{F78C3166-9D15-4149-9A30-3BFA371E25DD},,,,
-71.054799000882838,42.280395000130476,2810,3379,3379,Granite Ave @ Milton St,,42.280395,-71.054799,,,0,,0,{120FCB93-7379-445C-AE66-72B88A1A1F2C},,,,
-71.063223999725537,42.28935500000096,2811,338,338,Dorchester Ave @ Shepton St,,42.289355,-71.063224,,,0,,0,{82801257-B928-416B-9FDE-68589949CD07},,,,
-71.054254000596487,42.278997000177938,2812,3380,3380,Granite Ave opp Hilltop St,,42.278997,-71.054254,,,0,,0,{60BE971F-BC29-4C42-A9CC-4B7F32006922},,,,
