,LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
2574,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2575,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,3,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2576,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,5,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2577,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2578,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,12,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2579,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2580,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2581,CAL-132922,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,thomas  walsh,,Renaissance Hotel,"Renaissance Hotel Management Company, LLC",thomas  walsh,2543,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,FloorShow,Floor Show,2543,606,,  Congress ST,Boston,MA,2210,"['42.348192000', '-71.039130000']",42.348192000,-71.039130000
2582,CAL-132924,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Josiah A Spaulding,,Shubert Theater,Tremont Theater Inc.,Josiah A Spaulding,1679,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,1679,263,265,  Tremont ST,Boston,MA,2116,"['42.350380000', '-71.065410000']",42.350380000,-71.065410000
2583,CAL-132924,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Josiah A Spaulding,,Shubert Theater,Tremont Theater Inc.,Josiah A Spaulding,1679,0.0,1679,2:00 AM,1,Downtown/Charlestown/North End,A-1,FloorShow,Floor Show,1679,263,265,  Tremont ST,Boston,MA,2116,"['42.350380000', '-71.065410000']",42.350380000,-71.065410000
2584,CAL-132924,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Josiah A Spaulding,,Shubert Theater,Tremont Theater Inc.,Josiah A Spaulding,1679,175.0,0,2:00 AM,1679,Downtown/Charlestown/North End,A-1,Theatre,Theatre,1679,263,265,  Tremont ST,Boston,MA,2116,"['42.350380000', '-71.065410000']",42.350380000,-71.065410000
